Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
890555780293951488,890555780293951488,,0,1,1,0,1,1,2,0.666667,0.75,0,13,0,0.017924
1373187695812415488,1373187695812415488,,0,1,1,0,1,1,1,1,1,0,13,0,0.000584
3841429516,3841429516,,55,0,55,57,0,57,0,0,0,0,13,0.02001,0
546654601,546654601,,0,2,2,0,2,2,1,1,1,0,9,0,0.001075
1163905263675543552,1163905263675543552,,30,0,30,30,0,30,0,0,0,0,9,0.010546,0
1359412158094843904,1359412158094843904,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1081081891,1081081891,,18,0,18,18,0,18,0,0,0,0,21,0.000028,0
475930507,475930507,,0,0,0,0,0,0,0,0,0,0,12,0,0
902288190,902288190,,0,2,2,0,2,2,6,0.271685,0.295138,0,33,0,0.000023
133342361,133342361,,4,89,93,4,89,93,5,0.371663,0.447115,0.000028,33,0.000021,0
1145734207639101440,1145734207639101440,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1337189346433175552,1337189346433175552,,0,2,2,0,2,2,9,0.270489,0.298655,0,250,0,0.001524
1412500075,1412500075,,54,85,139,68,89,157,7,0.315107,0.35663,0.002946,250,0.016953,0.000138
1369668257347739648,1369668257347739648,,0,9,9,0,11,11,9,0.260874,0.305146,0,15,0,0.033808
1432776663851536384,1432776663851536384,,60,1,61,60,2,62,1,1,1,0.000001,21,0.020919,0
1138581484124737536,1138581484124737536,,12,0,12,13,0,13,0,0,0,0,13,0.004517,0
1250825548756107264,1250825548756107264,,1,4,5,1,4,5,4,0.492958,0.535714,0,15,0.000988,0.022054
1364939599601168384,1364939599601168384,,105,50,155,133,56,189,4,0.731183,0.851716,0.000618,15,0.054432,0.00011
1441800666008092672,1441800666008092672,,0,3,3,0,27,27,9,0.226634,0.250309,0,13,0,0.018928
1441789211451949056,1441789211451949056,,20,86,106,56,106,162,8,0.292636,0.350903,0.000718,13,0.00811,0.024884
1034446975,1034446975,,0,7,7,0,7,7,9,0.274446,0.328045,0,15,0,0.016092
406981868,406981868,,40,4,44,42,4,46,3,0.636364,0.761905,0.000048,15,0.014763,0
1059030612051402752,1059030612051402752,,6,1,7,6,1,7,1,1,1,0.00001,15,0.003996,0
970720216551485440,970720216551485440,,0,4,4,0,5,5,2,0.7,0.785714,0,13,0,0.039995
1386786871439659008,1386786871439659008,,0,6,6,0,8,8,9,0.252204,0.285842,0,5,0,0.041172
801867970603601920,801867970603601920,,0,9,9,0,9,9,7,0.290923,0.319754,0,9,0,0.01179
726853842294456320,726853842294456320,,81,4,85,81,4,85,8,0.223404,0.240193,0.000193,18,0.033204,0
112832545,112832545,,155,0,155,155,0,155,0,0,0,0,15,0.050286,0
3345387454,3345387454,,87,0,87,88,0,88,0,0,0,0,21,0.02964,0
8873182,8873182,,152,0,152,174,0,174,0,0,0,0,14,0.051811,0
2925822574,2925822574,,0,15,15,0,19,19,9,0.288678,0.334854,0,15,0,0.055468
2873377521,2873377521,,23,2,25,25,2,27,10,0.209324,0.230221,0.000558,15,0.012283,0
1400854572667703296,1400854572667703296,,5,8,13,5,9,14,10,0.224477,0.272684,0.000016,9,0.005143,0.004852
1325530241582960640,1325530241582960640,,15,0,15,15,0,15,0,0,0,0,15,0.007797,0
444121705,444121705,,11,29,40,11,29,40,8,0.281738,0.316281,0.000387,18,0.003959,0.002228
3025434267,3025434267,,1,19,20,1,19,20,6,0.3287,0.354782,0.000003,37,0.00162,0.004838
475234937,475234937,,103,206,309,115,219,334,7,0.370061,0.45453,0.002314,13,0.073468,0.022278
953310000,953310000,,10,0,10,11,0,11,0,0,0,0,15,0.003714,0
264950445,264950445,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1570357357,1570357357,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1436291445854457856,1436291445854457856,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
1400705294028742656,1400705294028742656,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1427553158910390272,1427553158910390272,,0,5,5,0,5,5,10,0.222248,0.256619,0,13,0,0.022453
4860308297,4860308297,,3,4,7,3,4,7,9,0.258176,0.300527,0.000089,13,0.001256,0.023428
3077196184,3077196184,,0,2,2,0,2,2,2,0.75,0.833333,0,9,0,0.001715
3155682418,3155682418,,104,1,105,104,1,105,1,1,1,0.000002,21,0.032475,0.000866
1338614814,1338614814,,0,6,6,0,6,6,9,0.266213,0.306933,0,9,0,0.01421
1446500137602322432,1446500137602322432,,1,27,28,1,33,34,8,0.289515,0.321227,0.000012,9,0.000415,0.037876
710858753,710858753,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
896048840947765248,896048840947765248,,0,2,2,0,2,2,9,0.247378,0.279309,0,5,0,0.021721
917720230469750784,917720230469750784,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1147682717888405504,1147682717888405504,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1176925574,1176925574,,0,7,7,0,7,7,9,0.262889,0.301499,0,9,0,0.029902
720973914680201216,720973914680201216,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
447383139,447383139,,0,3,3,0,3,3,9,0.263086,0.308228,0,9,0,0.006585
1244210036,1244210036,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
2156336219,2156336219,,0,2,2,0,2,2,5,0.450575,0.473129,0,28,0,0.000068
523682869,523682869,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
2363018685,2363018685,,0,6,6,0,6,6,7,0.308556,0.349259,0,9,0,0.030798
923171889891209216,923171889891209216,,69,25,94,74,25,99,3,0.852941,0.925287,0.000436,14,0.034303,0.000047
1422100694266482688,1422100694266482688,,0,6,6,0,9,9,9,0.238626,0.28232,0,9,0,0.024688
1156611540,1156611540,,4,3,7,6,5,11,3,0.555556,0.633333,0.000001,9,0.000723,0.000001
2813435920,2813435920,,0,2,2,0,2,2,2,0.75,0.833333,0,21,0,0.000949
1320296479437836288,1320296479437836288,,0,6,6,0,7,7,9,0.267205,0.314725,0,15,0,0.007961
1174514317238112256,1174514317238112256,,23,0,23,23,0,23,0,0,0,0,15,0.010101,0
884095964730019840,884095964730019840,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1551199729,1551199729,,0,0,0,0,0,0,0,0,0,0,16,0,0
581264884,581264884,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1422293478541860864,1422293478541860864,,0,4,4,0,4,4,9,0.226759,0.248592,0,15,0,0.00721
448335186,448335186,,11,12,23,11,14,25,3,0.627907,0.716049,0.000035,15,0.00401,0.039241
1244762162746269696,1244762162746269696,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
755367370378604544,755367370378604544,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1372438260568489984,1372438260568489984,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
462861866,462861866,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
397059204,397059204,,0,6,6,0,6,6,9,0.253335,0.291316,0,9,0,0.023537
842150238479634432,842150238479634432,,1,1,2,1,1,2,1,1,1,0,9,0.000688,0
872125071955030016,872125071955030016,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1320285580975104000,1320285580975104000,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
